TANGGAL,tweet_id,tweet_text
2023-01-18,tweet1,hujan deres
2023-01-18,tweet4,dengerin suara hujan 
2023-01-18,tweet2,hujan petir suara pesawat deket sekali admin
2023-01-18,tweet5,hati hati ya pulangnya sedia jas hujan
2023-01-18,tweet3,surabaya hujan
2023-01-27,tweet2,raya darmo macet hujan deras
2023-01-27,tweet5,teruntuk mobil avanzaxenia yang dpn lagoon avenue sungkono terima kasih gencretan air genangan ampek basah celana n bajusemoga sehat ya nasibnaikmotor sehabis hujan
2023-01-27,tweet1,alhamdulillah hujanya deras tanah basah sampai banjir
2023-01-27,tweet4,hindari jl ketintang macet parah tidak bergerak banjir parah bertepatan dg acara tahlil meninggalnya alm ayahanda bp eri cahyadi
2023-01-27,tweet3,ngajak kok pas hujan opo ce tidak ketok ngko pas nangis bareng yo
2023-02-09,tweet3,sate alhamdulilah hujan
2023-02-09,tweet5,diriku memberanikan pulang hujan nya seseram
2023-02-09,tweet4,terjebak hujan
2023-02-09,tweet1,rusakya diperbaikigitu gaduhmetoda sumur resapan diadopsi olh ganjar walikota semarangsumur resapan cocok sbg solusi daerah yang banjir jangan dipolitisirrakyat butuh solusibukan iri dengki
2023-02-09,tweet2,ngebakso karna hujan deras disertai aingin kencang pemirsa
2023-02-13,tweet3,hujan badai pelangi
2023-02-13,tweet2,hujan
2023-02-13,tweet6,enak hujan kalau koko kesana enak kalee ya nginep hehehe
2023-02-13,tweet1,hujan daerah perumahan wiguna selatan gunung anyar tambak surabayagimana cuaca daerah kalianyupz
2023-02-13,tweet5,mo nyari fwb an area surabaya mumpung hujan nih enak 
2023-02-13,tweet4,lalin panti asuhan kreatif darul hikmah jl gresik gadukan ramai lancar cuaca hujan rintik
2023-02-20,tweet4,mohon update kondisi berbek industri banjir
2023-02-20,tweet9,ahmad yani macet sier banjir merr sudah macet jam ng juanda iki pie carane
2023-02-20,tweet8,ya seperti ini kalau kangen titipkan angin dan hujan banjir jadi tidak bisa pulang
2023-02-20,tweet10,nggak banjir a
2023-02-20,tweet11,surabaya habis ujan kalau nggak macet ya banjir
2023-02-20,tweet3,villa bukit mas terpantau banjir tapi yang sisi kearah
2023-02-20,tweet5,banjir rek suroboyo
2023-02-20,tweet6,surabaya jarang banjir sekalinya banjir langsung bikin wahana
2023-02-20,tweet7,banjir
2023-02-20,tweet17,bisa banjir itu harus baw kendaraan yang tinggi anti banjir iki
2023-02-20,tweet13,menerjang banjir seru
2023-02-20,tweet12,banjir
2023-02-20,tweet1,malam hujan lagi
2023-02-20,tweet15,jahat apannya dipikir saja hubungan sama ukt apa kalau mengatasi banjir iku kudune sak suroboyo atasi kalau minta its tsaja yang tidak banjir ukt mu mahal its perumahan elit saja ya banjir
2023-02-20,tweet14,sore keujanan udah nih yaa pulang ganti baju berangkat ngajar malem manyak banjir 
2023-02-20,tweet2,totalnya parkir motornya tidak disarankan ngecamp pas hujan aksesnya tidak banget
2023-02-20,tweet16,kamu dimana dilarang alasan hujan banjir
2023-02-21,tweet4,pulang kerja disambut ayank disambut hujan gini ya
2023-02-21,tweet2,esok pelabuhan masih turun hujan yang berpotensi siang sore jelang malam hati sobat waspada potensi tumbuh nya awan cumulunimbus yang mencapai puncak aktifitasnya sore semoga bermanfaat ya sobat
2023-02-21,tweet3,hujan yang deras permintaanmu kemarin terik panas matahari permintaanmu hujan
2023-02-21,tweet5,fyp isinnya simo banjir ingin  bolos saja jadi flasback waktu ngekos disimo berangkat saja drama sekarang
2023-02-21,tweet7,awas banjir gol
2023-02-21,tweet1,update sobat prakiraan cuaca maritim perairan wilayah jawa timur msh yang kemarin diprakirakan masih turun hujan potensi terjadi siang sore jelang malam waspada angin kencang ya sobat smp knot update info bmkg tanjung perak ya
2023-02-21,tweet6,perum menganti emas banjir admin
2023-02-22,tweet2,februari banjir
2023-02-22,tweet3,ini juga nostalgia banjir segini
2023-02-22,tweet1,jangan hujan nanti banjir bingung
2023-03-30,tweet2,tugas sekali palai acara bocor banjir kontrakan astaga
2023-03-30,tweet3,kamar banjir yang di rumah diam saja
2023-03-30,tweet1,hujan deras wilayah kota surabaya
2023-04-09,tweet2,bau surabaya seger banget hujan deras
2023-04-09,tweet1,hujan
2023-04-10,tweet5,kalau begitu gimana ya sebelum dibikin beton beton pagar itu banjir
2023-04-10,tweet1,drama pertoplesan blm selesai cari toples hujan deres banget gila
2023-04-10,tweet4,aneh banget pagi tuh cerah banget nggak pertanda pas sore mendung hujan sampe ketiduran
2023-04-10,tweet3,bukber soee ditengah hujan gerimis serba oseng asam manis taklupa kerupuk kriuk bismillahyuk mareeeek httpstcoeizqspyogq
2023-04-10,tweet2,kawan wilayah jambangan terpantau hujan deras yang jalan harap berhati
2023-04-11,tweet1,hujan  rejeki
2023-04-11,tweet4,tadi berhenti hujan sekarang hujan lagi
2023-04-11,tweet3,hujan sanggat deras sekali
2023-04-11,tweet5,hujan
2023-04-11,tweet7,hujan terus jadi susah kalau ngabuburit sore nyari takjil
2023-04-11,tweet6,kodam hujan
2023-04-11,tweet2,iya habis hujan deras lempar
2023-04-12,tweet9,simorejo terpantau banjir hujan nonstop
2023-04-12,tweet10,hujan petir kilat malam
2023-04-12,tweet11,jl putro agung aman hujan tiga jam
2023-04-12,tweet7, lingkaran merah haltenya yang si kernet ya kalau posisi hujan gelap 
2023-04-12,tweet13,berita ditulis petugas gabungan bpbd kota surabaya tim sar warga mencari keberadaan korban pantauan beritajatim debit air sungai simo hilir meningkat dibanding lantaran surabaya diguyur hujan jam
2023-04-12,tweet8,hujan deras manukan
2023-04-12,tweet12,eko salah warga korban temannya bermain hujan hujan pinggir sungai simo hilir smk pelayaran berselang korban berenang terseret arus deras
2023-04-12,tweet4, kejebak hujan
2023-04-12,tweet3,ketintang hujan deras
2023-04-12,tweet6,hujanya awet
2023-04-12,tweet1,bmkg juanda kota surabaya diprediksi menghadapi cuaca ekstrim disertai hujan angin petir april berpotensi memicu bencana hidrometeorologi pemkot surabaya mitigasi musim penghujan
2023-04-12,tweet5,mohon doanya dom ku hujan deras saya tidak bisa pulang aku buka puasa 
2023-04-12,tweet2,ceritanya kejebak hujan ingin mie pedes makan selamat buka puasa
2023-04-28,tweet16,karna hujan dingin mandi sekian
2023-04-28,tweet1,hujan daerah mana
2023-04-28,tweet15,ayolah hujan nya redahan
2023-04-28,tweet14,ayam bakar resep kembaran gw enak pas hujan banjir
2023-04-28,tweet13,hujan angin banjir itupun nggak banjir e langsung surut beda
2023-04-28,tweet2,niat hati masjid agung hujan jadi jumatannya saja
2023-04-28,tweet12,motor saya tidak bisa ngebut karena banjir besar di mayjen
2023-04-28,tweet11,hujan tadi memang tidak kira kira pakis gunung yang tidak pernah banjir saja sampai tenggelam
2023-04-28,tweet6,mayjend sungkono banjir macet parah
2023-04-28,tweet3,hujan lebat air deras bukit mas deras jalan jajar tunggal timur surabaya
2023-04-28,tweet18,terbangun surabaya abis hujan deras kelafaran deh itadakimas
2023-04-28,tweet5,kemarin panas sekalih eh surabaya hujan banjir mayjend
2023-04-28,tweet7,harap bersabar pakis gunung banjir kaget mayjend tenggelam ini depan rumah saya jalan rusak
2023-04-28,tweet9,banjir kiriman
2023-04-28,tweet17,banjir againn krn hujan turun deras lg kali banjir kawasan dukuh kupang
2023-04-28,tweet4,rumahku ada waterboom banjir tidak biasa di surabaya
2023-04-28,tweet8,hujannya nggak merata wonokromo deres tidak sampai banjir alhamdulillah
2023-04-28,tweet10,surabaya barat hujan deras jalan mayjen sungkono lumpuh lentera today lmedia group
2023-05-03,tweet3,suka hujan suka
2023-05-03,tweet5,hujan deres takut tidur
2023-05-03,tweet1,jalan pandegiling hujan deras
2023-05-03,tweet6,mare subuh dah hujan
2023-05-03,tweet2,sby hujan panas
2023-05-03,tweet4,hujan beneran
2023-11-28,tweet4,kondisi hujan deras macet berhenti selepas gate waru arah satelit gunung sari menit
2023-11-28,tweet2,terjebak hujan
2023-11-28,tweet3,hujan jalan tol
2023-11-28,tweet1,adem memasuki musim hujan
